origin_time,origin_time_2021,latitude,longitude,depth,magnitude,event_id,rupture_radius,uncertainty_x,uncertainty_y,uncertainty_z,uncertainty_time
2022-12-11 22:12:04.410,32479924.41,40.401167,-124.3575,29.18,1.1,1008149,0.020243,9.88338479,6.27189972,1.08553555,0.21326685
2022-12-11 23:36:23.180,32484983.18,40.351333,-124.480167,11.71,1.11,1008150,0.020478,5.19303965,3.11346633,3.23531105,0.14057803
2022-12-12 01:04:54.750,32490294.75,40.355833,-124.273833,26.64,2.37,nc73817481,0.087355,10.43927999,4.62441302,1.4780394,0.48922062
2022-12-12 02:06:06.930,32493966.93,40.2985,-124.630333,13.83,1.35,1008152,0.026995,5.0061573,5.9784597,5.68939032,0.210495
2022-12-12 02:37:43.750,32495863.75,40.304333,-124.393667,17.7,0.99,1008153,0.017836,9.00036907,8.36200103,2.83608573,0.13504553
2022-12-12 05:13:49.460,32505229.46,40.300333,-124.5365,2.42,0.96,1008154,0.01723,8.34715888,8.46562977,5.71038424,0.14673424
2022-12-12 08:33:18.700,32517198.7,40.679667,-124.5685,28.27,1.06,1008155,0.019332,9.21286356,5.43014781,11.70249143,0.30707169
2022-12-12 09:06:36.160,32519196.16,40.452833,-124.1925,22.3,0.89,1008156,0.015896,12.62649112,4.13464213,3.97271998,0.27417374
2022-12-12 09:42:19.270,32521339.27,40.550167,-124.403,24.85,1.09,1008157,0.020012,7.86641192,2.27920933,1.44667843,0.11927247
2022-12-12 14:10:30.380,32537430.38,40.290833,-124.6005,26.0,0.84,1008158,0.015007,5.64165479,5.54378036,2.10991328,0.06397939
2022-12-12 19:43:57.630,32557437.63,40.226333,-124.500333,10.95,0.89,1008159,0.015896,7.6773432,8.37739675,6.10856166,0.04197341
2022-12-13 00:49:09.040,32575749.04,40.3895,-124.281667,20.39,1.29,1008160,0.025193,10.34011555,4.89326817,2.1469405,1.01927984
2022-12-13 03:01:07.120,32583667.12,40.37,-124.437167,18.61,1.0,1008161,0.018042,6.27757284,2.73008101,1.66482201,0.16821671
2022-12-13 04:06:22.790,32587582.79,40.342833,-124.404833,7.66,0.95,1008162,0.017033,6.1552172,3.48436587,3.54693201,0.16565776
2022-12-13 07:44:18.900,32600658.9,40.516333,-125.079,24.19,2.0,1008163,0.057054,1.84960588,1.40749008,3.65513346,0.33764791
2022-12-13 09:07:21.430,32605641.43,40.394833,-124.11,23.35,0.56,1008164,0.010871,13.33540085,3.92743068,3.31442071,0.25192076
2022-12-13 16:24:39.550,32631879.55,40.2915,-124.481167,19.76,1.08,1008165,0.019783,5.98050189,7.34501505,2.41416393,0.24714208
2022-12-13 16:24:59.300,32631899.3,40.252167,-124.525833,13.59,1.11,1008166,0.020478,6.2274506,7.25764663,4.65909122,1.66463065
2022-12-13 16:39:16.710,32632756.71,40.244833,-124.533667,12.31,1.17,1008167,0.021942,4.8603892,6.70956899,4.54221749,0.56395018
2022-12-13 18:12:12.230,32638332.23,40.500333,-124.307833,18.93,0.75,1008168,0.01353,9.13936871,2.91861207,1.72987703,0.21679157
2022-12-13 18:18:31.750,32638711.75,40.3915,-124.779333,22.33,0.99,1008169,0.017836,10.69741238,12.72045436,7.05225462,0.14136219
2022-12-13 23:48:37.770,32658517.77,41.054167,-124.097833,35.63,1.07,1008170,0.019556,10.97179731,5.77676043,2.9050955,0.26845169
2022-12-14 02:57:34.720,32669854.72,40.357333,-124.251167,25.1,0.69,1008171,0.012627,10.7257124,5.28414515,0.991727,0.21630692
