ev1,ev2,station,phase,dt_sec,weight
101361,238704,NCJEC,P,-0.015896,0.897
101361,238704,NCJLX,P,-0.006382999999999998,0.838
101361,238704,NCHGW,P,0.013518000000000002,0.975
101361,238704,NCCDV,P,-0.014848999999999998,0.939
101361,238704,NCCMJ,P,-0.0027519999999999975,0.876
101361,238704,NCCMP,P,-0.0013109999999999997,0.938
101361,238704,NCJBZ,P,-0.006279999999999997,0.882
101361,238704,NCCMR,P,-0.002133999999999997,0.965
101361,238704,NCJTG,P,0.0003119999999999998,0.841
101361,238704,NCJBC,P,-0.011951999999999999,0.834
101361,238704,NCJPL,P,-0.005951999999999999,0.806
101361,238704,NCCMN,P,-0.010622999999999999,0.937
101361,238704,NCJSC,P,0.0009779999999999997,0.883
101361,238704,NCCST,P,0.006534000000000002,0.893
101361,238704,NCHPL,P,-0.0030139999999999993,0.935
101361,238704,NCJBM,P,-0.007976999999999998,0.948
101361,238704,NCHOR,P,-0.002505999999999998,0.759
101361,238704,NCJSM,P,-0.008185999999999999,0.781
101361,238704,NCHAZ,P,-0.007480999999999998,0.807
101361,238704,NCJSFa,P,-0.011446,0.797
101361,238704,NCCPL,P,0.008999,0.892
101361,238704,NCCCY,P,0.010028000000000002,0.964
101361,238704,NCJBLb,P,-0.008518,0.889
101361,238704,NCJPPa,P,-0.009609,0.909
101361,238704,NCHSFb,P,-0.0014509999999999974,0.913
101361,238704,NCHLT,P,-0.0008289999999999999,0.748
101361,238704,NCCMO,P,-0.0056139999999999975,0.868
101361,238704,NCCLC,P,-0.007846999999999998,0.843
101361,238704,NCHFP,P,0.0001460000000000003,0.947
101361,238704,NCBVY,P,0.0018810000000000007,0.911
101361,238704,NCHQR,P,0.008992,0.755
101361,238704,NCCCOa,S,-0.011392999999999999,0.92
101361,238704,NCCSC,S,-0.002378999999999999,0.8
101361,238704,NCCMH,S,-0.006161999999999997,0.93
101361,238704,NCCADa,S,0.0068000000000000005,0.95
101361,238704,NCJST,S,-0.0053939999999999995,0.91
101361,238704,NCJCB,S,-0.010752,0.98
101361,238704,NCCML,S,0.008777,0.99
101361,238704,NCCAL,S,-0.0021379999999999975,0.93
101361,238704,NCJAL,S,0.010689000000000004,0.97
